Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason,UPDATE-Completed My Experiment Already
A101IR0LIN81SL,https://requester.mturk.com/workers/A101IR0LIN81SL,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A129DU6FOHUVNO,https://requester.mturk.com/workers/A129DU6FOHUVNO,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A17LF7GCAFYMSL,https://requester.mturk.com/workers/A17LF7GCAFYMSL,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A17QHU5Q0FS3GW,https://requester.mturk.com/workers/A17QHU5Q0FS3GW,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A188LZ1A7V4FQY,https://requester.mturk.com/workers/A188LZ1A7V4FQY,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A192KNMRT3IT3S,https://requester.mturk.com/workers/A192KNMRT3IT3S,1,0,0.00%,1,0,0.00%,0,0,0.00%,Never Blocked,,,1
A19H44LQJ0TEXF,https://requester.mturk.com/workers/A19H44LQJ0TEXF,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1A73A5Z4SDW06,https://requester.mturk.com/workers/A1A73A5Z4SDW06,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1DXFMUVK5015A,https://requester.mturk.com/workers/A1DXFMUVK5015A,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1E0GZGYVQAGB1,https://requester.mturk.com/workers/A1E0GZGYVQAGB1,1,1,100.00%,0,0,0.00%,0,0,0.00%,Never Blocked,,,1
A1EK8YNHZHTW1J,https://requester.mturk.com/workers/A1EK8YNHZHTW1J,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1EKVUFWL7OJMO,https://requester.mturk.com/workers/A1EKVUFWL7OJMO,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
A1EPE2IRWQ9XO2,https://requester.mturk.com/workers/A1EPE2IRWQ9XO2,1,1,100.00%,1,1,100.00%,0,0,0.00%,Never Blocked,,,1
