A1DKVUTOBPQH11,InstructionQuestions,1,1,1,1,1,1,1,1,1,0
A1DKVUTOBPQH11,InstructionQuestions,1,1,1,1,1,1,1,1,1,1

A1DKVUTOBPQH11,0,7,0,1568952147161,0,Read score file,,P0:;P1:;P2:;P3:;P4:;P5:,-,,,undefined:undefined
A1DKVUTOBPQH11,0,7,0,1568952352926,0,Read new file,,P0:;P1:;P2:;P3:;P4:;P5:,-,,,undefined:undefined
A1DKVUTOBPQH11,0,7,0,1568952353090,0,Starting new game,,P0:;P1:;P2:,1 1 3 3 2 1 2 3 3 2,,P0:50;P1:50;P2:50;,undefined:undefined
A1DKVUTOBPQH11,0,7,0,1568952368711,0,Added cell 1-2-true,,P0:;P1:;P2:,1 3 3 2 1 2 3 3 2 ,,P0:45;P1:50;P2:50;,03:46
A1DKVUTOBPQH11,0,7,0,1568952379536,0,Added cell 2-2-true,,P0:;P1:;P2:,1 3 2 1 2 3 3 2 ,,P0:40;P1:50;P2:50;,03:35
A1DKVUTOBPQH11,0,7,0,1568952392269,0,Added cell 3-2-true,,P0:;P1:;P2:,1 3 1 2 3 3 2 ,,P0:35;P1:50;P2:50;,03:22
A1DKVUTOBPQH11,0,7,0,1568952392679,0,Added cell 3-3-true,,P0:;P1:;P2:,1 1 2 3 3 2 ,,P0:30;P1:50;P2:50;,03:22
A1DKVUTOBPQH11,0,7,0,1568952394146,0,Added cell 3-4-true,,P0:;P1:;P2:,1 2 3 3 2 ,,P0:25;P1:50;P2:50;,03:20
A1DKVUTOBPQH11,0,7,0,1568952395101,0,Added cell 2-4-true,,P0:;P1:;P2:,2 3 3 2 ,,P0:170;P1:50;P2:50;,03:19
A1DKVUTOBPQH11,0,7,0,1568952477024,0,Motivation: My chip distribution was enough to meet the goal where I didn't have to borrow chips from any other player.,,P0:;P1:;P2:,2 3 3 2 ,,P0:170;P1:50;P2:50;,01:58
A1DKVUTOBPQH11,0,7,0,1568952477024,0,Ending game,,P0:;P1:;P2:,2 3 3 2 ,,P0:170;P1:50;P2:50;,01:58
A1DKVUTOBPQH11,0,5,1,1568952478836,0,Starting new game,,P0:;P1:;P2:,2 3 3 4 3 2 2 2 1 4,,P0:50;P1:50;P2:50;,01:58

A1DKVUTOBPQH11,0,5,1,1568952516525,0,Added cell 4-3-true,,P0:;P1:;P2:,2 3 3 3 2 2 2 1 4 ,,P0:45;P1:50;P2:50;,03:24
A1DKVUTOBPQH11,0,5,1,1568952517206,0,Added cell 3-3-true,,P0:;P1:;P2:,3 3 3 2 2 2 1 4 ,,P0:40;P1:50;P2:50;,03:23
A1DKVUTOBPQH11,0,5,1,1568952517671,0,Added cell 2-3-true,,P0:;P1:;P2:,3 3 3 2 2 1 4 ,,P0:35;P1:50;P2:50;,03:23
A1DKVUTOBPQH11,0,5,1,1568952522641,0,Added cell 1-3-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:18
A1DKVUTOBPQH11,0,5,1,1568952523933,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:16
A1DKVUTOBPQH11,0,5,1,1568952524829,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:16
A1DKVUTOBPQH11,0,5,1,1568952524995,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:15
A1DKVUTOBPQH11,0,5,1,1568952525133,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:15
A1DKVUTOBPQH11,0,5,1,1568952525287,0,Added cell 1-2-true,,P0:;P1:;P2:,3 3 3 2 2 4 ,,P0:30;P1:50;P2:50;,03:15
