Survey,PlayerID,Condition,Timestamp,response
workload,test,2,1568950562963,1;2;19;20;21
Trust,test,2,1568950572099,4;3;2;1;2;3;4;5
explanations,test,2,1568950582171,4;5;4;3;2;1;2;3
workload,A2WY6HLF2YLSOF,0,1568952275828,14;5;19;18;6
workload,AUFUUD4WG9CVO,2,1568952994045,15;5;20;15;2
Trust,AUFUUD4WG9CVO,2,1568953015428,1;4;1;1;1;5;1;1
explanations,AUFUUD4WG9CVO,2,1568953036035,5;3;1;1;4;1;3;3
workload,A2XQ3CFB5HT2ZQ,1,1568953021128,14;3;15;14;5
Trust,A2XQ3CFB5HT2ZQ,1,1568953042653,4;4;4;4;5;1;4;4
workload,A3J85WP15JFYW0,1,1568953616320,17;7;18;15;6
Trust,A3J85WP15JFYW0,1,1568953640798,3;3;3;3;3;4;3;2
workload,AIK9W79I4TPJW,2,1568954103290,16;16;17;16;4
Trust,AIK9W79I4TPJW,2,1568954154184,4;3;4;4;4;3;4;3
explanations,AIK9W79I4TPJW,2,1568954187875,4;4;4;4;4;4;4;4
workload,A82Q1HS5CPZ5I,2,1568954651334,13;11;17;21;5
Trust,A82Q1HS5CPZ5I,2,1568954690002,2;2;1;2;3;4;3;1
explanations,A82Q1HS5CPZ5I,2,1568954718004,5;5;5;5;5;4;3;4
workload,ACI1OFQTEMUV0,2,1568955656684,17;3;14;18;6
Trust,ACI1OFQTEMUV0,2,1568955682286,5;4;4;4;5;4;5;5
explanations,ACI1OFQTEMUV0,2,1568955707469,4;5;4;5;4;4;5;3
workload,A3HQXCWOIQKT4F,0,1568955806268,13;16;13;19;18
workload,A1AFOBARMIFUSW,1,1568955853483,14;6;16;6;1
Trust,A1AFOBARMIFUSW,1,1568955908551,4;5;1;3;4;3;2;3
workload,AFUUPNBIKHRFZ,1,1568955976343,1;1;21;19;1
Trust,AFUUPNBIKHRFZ,1,1568955993472,3;3;4;4;5;3;4;3
workload,A3DKFBFK3FA3MA,2,1568956095592,15;1;16;14;1
Trust,A3DKFBFK3FA3MA,2,1568956116512,4;3;4;5;3;3;4;3
explanations,A3DKFBFK3FA3MA,2,1568956130696,4;4;3;5;4;3;4;5

workload,A2SKH7WZUEDGGI,0,1568956153950,17;11;13;16;18
workload,A2SKXKH9YXZYRI,1,1568956191690,14;14;14;14;14
Trust,A2SKXKH9YXZYRI,1,1568956250142,4;4;1;2;5;4;3;4
Trust,A31Z13BGZDNRN9,2,1568956429652,5;4;5;4;5;1;5;5
explanations,A31Z13BGZDNRN9,2,1568956465846,4;5;3;4;2;5;4;3
workload,A2DPMOS2N05OT7,0,1568956472624,15;15;15;14;15
workload,A34D5D6PU193AR,2,1568956494424,10;14;12;14;12
Trust,A34D5D6PU193AR,2,1568956530258,5;4;5;4;5;4;5;4
explanations,A34D5D6PU193AR,2,1568956549522,5;4;5;4;4;5;5;4
workload,A1GFGZJPLCHHFH,1,1568956731660,4;3;21;21;2
workload,A1NZ9E0GL5JUYL,2,1568956737558,15;17;18;19;17
Trust,A1GFGZJPLCHHFH,1,1568956764880,5;5;4;4;5;4;5;4
Trust,A1NZ9E0GL5JUYL,2,1568956826759,5;4;4;4;4;4;4;4
explanations,A1NZ9E0GL5JUYL,2,1568956841414,4;4;5;4;4;5;5;4
workload,AM2KK02JXXW48,0,1568957342203,16;9;15;18;19
workload,A3PO3JTLQTZFLJ,1,1568957334270,17;16;21;21;18
Trust,A3PO3JTLQTZFLJ,1,1568957358643,4;5;4;4;3;4;5;4
workload,A3KIERAEUTADSO,0,1568957453004,15;17;21;18;21
workload,AOHTK6L54UWWF,0,1568957617065,17;16;17;14;21
workload,A3BHRFFG75X3GO,2,1568957659612,7;7;7;7;7
Trust,A3BHRFFG75X3GO,2,1568957704809,3;3;3;2;4;4;2;3
explanations,A3BHRFFG75X3GO,2,1568957730976,4;4;4;4;4;4;4;4
workload,A3ABJN1IL7UCZ8,0,1568958246637,15;5;4;13;14
workload,AOADZ7CDL98HW,2,1568958283760,14;15;17;16;14
workload,A2GXKPQB64DZC1,1,1568958289952,17;16;19;18;4
Trust,A2GXKPQB64DZC1,1,1568958325570,5;4;5;5;4;3;4;5
Trust,AOADZ7CDL98HW,2,1568958325277,4;3;4;3;4;3;4;3
explanations,AOADZ7CDL98HW,2,1568958334299,4;3;4;3;4;3;4;3
